period,new_users_organic,new_users_referred
01/12/12,74,6
01/01/13,26,0
01/02/13,128,7
01/03/13,294,24
01/04/13,345,47
01/05/13,114,20
01/06/13,115,54
01/07/13,521,21
01/08/13,139,17
01/09/13,21,20
01/10/13,167,5
01/11/13,245,33
01/12/13,897,43
01/01/14,232,19
01/02/14,198,25
01/03/14,187,77
01/04/14,236,131
01/05/14,161,76
01/06/14,269,147
01/07/14,499,94
01/08/14,278,135
01/09/14,346,129
01/10/14,985,944
01/11/14,532,736
01/12/14,795,826
01/01/15,443,474
01/02/15,667,471
01/03/15,864,480
01/04/15,1837,693
01/05/15,1777,445
01/06/15,726,506
01/07/15,4643,604
01/08/15,1524,930
01/09/15,1000,989
01/10/15,1000,884
01/11/15,1000,1227
01/12/15,1000,1754
01/01/16,1000,2504
01/02/16,1000,1153
01/03/16,1000,1761
01/04/16,1000,2175
01/05/16,1000,2205
01/06/16,1000,2221
01/07/16,1000,2311
01/08/16,1000,2173
01/09/16,1000,2111
01/10/16,1000,1941
01/11/16,1000,2631
01/12/16,1000,3736
01/01/17,1000,5330
01/02/17,1000,2413
01/03/17,1000,3675
01/04/17,1000,4481
01/05/17,1000,4446
01/06/17,1000,4511
01/07/17,1000,4586
01/08/17,1000,4313
01/09/17,1000,4171
01/10/17,1000,3860
01/11/17,1000,5174
01/12/17,1000,7265
