id,user_id,order_date,order_date_end,order_status,order_summ,User_date_joined,User_date_activate
11,33,11/12/2012 10:21,11/12/2012 10:21,3,4600,11/12/2012 10:16,11/12/2012 10:16
12,38,11/12/2012 13:44,11/12/2012 13:44,3,8800,11/12/2012 13:39,11/12/2012 13:39
14,42,11/12/2012 17:43,11/12/2012 17:43,3,4600,11/12/2012 17:40,11/12/2012 17:40
15,26,11/12/2012 23:14,11/12/2012 23:14,3,8800,10/12/2012 15:23,10/12/2012 15:23
25,75,15/12/2012 18:25,15/12/2012 18:25,3,17000,15/12/2012 16:55,15/12/2012 16:55
26,76,15/12/2012 20:12,15/12/2012 20:12,3,8200,15/12/2012 19:00,15/12/2012 19:00
31,88,18/12/2012 08:59,18/12/2012 08:59,3,4600,17/12/2012 15:13,17/12/2012 15:13
32,94,18/12/2012 13:25,18/12/2012 13:25,3,4600,18/12/2012 12:06,18/12/2012 12:06
34,97,18/12/2012 17:27,18/12/2012 17:27,3,4200,18/12/2012 13:35,18/12/2012 13:35
35,60,18/12/2012 18:15,18/12/2012 18:15,3,4200,12/12/2012 17:25,12/12/2012 17:25
38,80,20/12/2012 13:35,20/12/2012 13:35,3,4600,16/12/2012 20:51,16/12/2012 20:51
39,105,21/12/2012 12:40,21/12/2012 12:40,3,4200,20/12/2012 12:05,20/12/2012 12:05
42,60,24/12/2012 13:04,24/12/2012 13:04,3,6400,12/12/2012 17:25,12/12/2012 17:25
43,116,24/12/2012 22:13,24/12/2012 22:13,3,4900,21/12/2012 11:09,21/12/2012 11:09
45,142,26/12/2012 06:20,26/12/2012 06:20,3,5500,24/12/2012 13:34,24/12/2012 13:34
48,156,28/12/2012 11:15,28/12/2012 11:15,3,4900,28/12/2012 11:10,28/12/2012 11:10
49,155,28/12/2012 11:21,28/12/2012 11:21,3,6400,28/12/2012 11:03,28/12/2012 11:03
55,167,10/01/2013 09:37,10/01/2013 09:37,3,4900,09/01/2013 17:13,09/01/2013 17:13
58,88,21/01/2013 18:19,21/01/2013 18:19,3,5500,17/12/2012 15:13,17/12/2012 15:13
61,181,24/01/2013 16:43,24/01/2013 16:43,3,8800,24/01/2013 16:37,24/01/2013 16:37
62,76,26/01/2013 18:37,26/01/2013 18:37,3,16500,15/12/2012 19:00,15/12/2012 19:00
63,42,01/02/2013 07:07,01/02/2013 07:07,3,10000,11/12/2012 17:40,11/12/2012 17:40
65,213,05/02/2013 23:50,05/02/2013 23:50,3,4900,31/01/2013 22:57,31/01/2013 22:57
